Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Year,pro_bowl
Cris Carter,122,1256,7,15,2,65,63,51.6,4,1994,1
Jerry Rice,112,1499,13,21,3,69,77,68.8,1,1994,1
Terance Mathis,111,1342,11,14,4,81,67,60.4,0,1994,1
Ben Coates,96,1174,7,15,1,62,65,67.7,2,1994,0
Sterling Sharpe,94,1119,18,14,2,49,63,67.0,1,1994,1
Andre Reed,90,1303,8,15,3,83,64,71.1,2,1994,1
Tim Brown,89,1309,9,17,4,77,68,76.4,1,1994,1
Shannon Sharpe,87,1010,4,14,2,44,51,58.6,1,1994,0
Jake Reed,85,1175,4,13,3,59,59,69.4,3,1994,0
Quinn Early,82,894,4,10,0,33,46,56.1,0,1994,0
Brian Blades,81,1086,4,16,2,45,61,75.3,0,1994,0
Andre Rison,81,1088,8,18,2,69,57,70.4,1,1994,0
Michael Irvin,79,1241,6,16,3,65,65,82.3,0,1994,1
Fred Barnett,78,1127,5,14,6,54,48,61.5,1,1994,0
Edgar Bennett,78,546,4,2,1,40,28,35.9,0,1994,0
Rob Moore,78,1010,6,13,1,41,53,68.0,0,1994,1
Larry Centers,77,647,2,5,0,36,37,48.0,0,1994,0
Michael Haynes,77,985,5,12,3,78,46,59.7,1,1994,0
Glyn Milburn,77,549,3,4,0,33,29,37.7,0,1994,0
Henry Ellard,74,1397,6,30,3,73,71,96.0,0,1994,0
Michael Timpson,74,941,3,15,0,37,52,70.3,0,1994,0
Irving Fryar,73,1270,7,20,6,54,56,76.7,0,1994,1
Herman Moore,72,1173,11,19,3,51,56,77.8,1,1994,1
Carl Pickens,71,1127,11,15,7,70,53,74.6,1,1994,0
Herman Moore,123,1686,14,20,6,69,90,73.2,2,1995,1
Cris Carter,122,1371,17,17,2,60,80,65.6,0,1995,1
Jerry Rice,122,1848,15,25,10,81,75,61.5,3,1995,1
Isaac Bruce,119,1781,13,28,4,72,82,68.9,2,1995,0
Michael Irvin,111,1603,10,23,6,50,88,79.3,1,1995,1
Brett Perriman,108,1488,9,20,3,91,74,68.5,1,1995,0
Eric Metcalf,104,1189,8,17,5,62,53,51.0,0,1995,0
Robert Brooks,102,1497,13,17,5,99,70,68.6,0,1995,0
Larry Centers,101,962,2,11,0,32,45,44.6,1,1995,0
Carl Pickens,99,1234,17,13,5,68,65,65.7,1,1995,1
Tony Martin,90,1224,6,16,2,51,60,66.7,3,1995,0
Tim Brown,89,1342,10,18,4,80,66,74.2,0,1995,1
Derek Loville,87,662,3,2,0,31,36,41.4,0,1995,0
Yancey Thigpen,85,1307,5,21,2,43,64,75.3,1,1995,1
Ben Coates,84,915,6,6,0,35,51,60.7,4,1995,0
Jeff Graham,82,1301,4,21,6,51,67,81.7,1,1995,0
Quinn Early,81,1087,8,14,4,70,54,66.7,1,1995,0
Terance Mathis,78,1039,9,14,1,54,50,64.1,1,1995,0
Brian Blades,77,1001,4,12,3,49,49,63.6,0,1995,0
Bert Emanuel,74,1039,5,18,4,52,47,63.5,2,1995,0
Jake Reed,72,1167,9,19,5,55,55,76.4,1,1995,0
Amp Lee,71,558,1,4,0,33,29,40.8,1,1995,0
Adrian Murrell,71,465,2,5,2,43,18,25.4,1,1995,0
Jerry Rice,108,1254,8,11,0,39,72,66.7,0,1996,1
Herman Moore,106,1296,9,19,1,50,71,67.0,0,1996,1
Carl Pickens,100,1180,12,15,4,61,63,63.0,0,1996,1
Larry Centers,99,766,7,3,0,39,44,44.4,0,1996,0
Cris Carter,96,1163,10,16,3,43,57,59.4,1,1996,1
Brett Perriman,94,1021,5,6,1,44,59,62.8,0,1996,0
Tim Brown,90,1104,9,16,2,42,58,64.4,1,1996,1
Terry Glenn,90,1132,6,16,0,37,58,64.4,1,1996,0
Irving Fryar,88,1195,11,15,2,42,66,75.0,0,1996,1
Tony Martin,85,1171,14,15,4,55,59,69.4,0,1996,1
Keenan McCardell,85,1129,3,8,4,52,57,67.1,1,1996,1
Isaac Bruce,84,1338,7,19,5,70,60,71.4,1,1996,1
Wayne Chrebet,84,909,3,7,1,44,48,57.1,1,1996,0
Jimmy Smith,83,1244,7,14,5,62,60,72.3,1,1996,0
Curtis Conway,81,1049,7,13,2,58,51,63.0,1,1996,0
Shannon Sharpe,80,1062,10,16,2,51,52,65.0,1,1996,0
Michael Jackson,76,1201,14,21,2,86,58,76.3,0,1996,0
Bert Emanuel,75,921,6,11,5,53,48,64.0,0,1996,0
O.J. McDuffie,74,918,8,15,0,36,50,67.6,3,1996,0
Andre Hastings,72,739,6,5,0,38,42,58.3,0,1996,0
Jake Reed,72,1320,7,19,5,82,56,77.8,0,1996,0
Chris T. Jones,70,859,5,8,0,38,51,72.9,1,1996,0
Tim Brown,104,1408,5,20,2,59,65,62.5,1,1997,1
Herman Moore,104,1293,8,15,3,79,66,63.5,0,1997,1
Rob Moore,97,1584,8,26,5,47,68,70.1,0,1997,1
Cris Carter,89,1069,13,16,1,43,54,60.7,3,1997,1
Irving Fryar,86,1316,6,18,3,72,64,74.4,1,1997,1
Keenan McCardell,85,1164,5,15,2,60,55,64.7,0,1997,0
Jimmy Smith,82,1324,4,24,7,75,64,78.0,1,1997,1
Antonio Freeman,81,1243,12,19,3,58,62,76.5,1,1997,0
Johnnie Morton,80,1057,6,14,3,73,51,63.8,2,1997,0
Yancey Thigpen,79,1398,7,21,6,69,62,78.5,1,1997,1
O.J. McDuffie,76,943,1,9,2,55,50,65.8,0,1997,0
Michael Irvin,75,1180,9,19,4,55,59,78.7,0,1997,0
Frank Sanders,75,1017,4,13,5,70,50,66.7,3,1997,0
Marvin Harrison,73,866,6,9,2,44,46,63.0,1,1997,0
Joey Galloway,72,1049,12,14,4,53,55,76.4,0,1997,0
Andre Rison,72,1092,7,17,2,45,54,75.0,0,1997,1
Shannon Sharpe,72,1107,3,18,3,68,49,68.1,1,1997,0
Keyshawn Johnson,70,963,5,15,0,39,50,71.4,0,1997,0
Rod Smith,70,1180,12,15,7,78,54,77.1,3,1997,0
O.J. McDuffie,90,1050,7,8,2,61,59,65.6,0,1998,0
Frank Sanders,89,1145,3,15,3,42,57,64.0,2,1998,0
Marshall Faulk,86,908,4,12,1,78,44,51.2,0,1998,0
Rod Smith,86,1222,6,12,2,58,60,69.8,0,1998,0
Antonio Freeman,84,1424,14,18,7,84,59,70.2,0,1998,1
Keyshawn Johnson,83,1131,10,15,1,41,60,72.3,0,1998,1
Herman Moore,82,983,5,16,0,36,50,61.0,0,1998,0
Carl Pickens,82,1023,5,15,4,67,48,58.5,2,1998,0
Jerry Rice,82,1157,9,13,4,75,55,67.1,2,1998,1
Tim Brown,81,1012,9,12,1,49,52,64.2,2,1998,0
Cris Carter,78,1011,12,13,2,54,57,73.1,0,1998,1
Jimmy Smith,78,1182,8,17,5,72,50,64.1,2,1998,1
Wayne Chrebet,75,1083,8,15,4,63,60,80.0,0,1998,0
Michael Irvin,74,1057,1,13,3,51,48,64.9,1,1998,0
Frank Wycheck,70,768,2,10,0,38,37,52.9,2,1998,0
Jimmy Smith,116,1636,6,21,6,62,86,74.1,1,1999,1
Marvin Harrison,115,1663,12,24,7,57,79,68.7,2,1999,1
Muhsin Muhammad,96,1253,8,15,1,60,62,64.6,1,1999,1
Tim Brown,90,1344,6,18,5,47,64,71.1,0,1999,1
Cris Carter,90,1241,13,24,1,68,65,72.2,0,1999,1
Keyshawn Johnson,89,1170,8,16,3,65,57,64.0,0,1999,1
Bobby Engram,88,947,4,10,3,56,47,53.4,2,1999,0
Marshall Faulk,87,1048,5,14,4,57,40,46.0,0,1999,0
Marcus Robinson,84,1400,9,22,7,80,56,66.7,0,1999,0
Germane Crowell,81,1338,7,23,7,77,54,66.7,1,1999,0
Terance Mathis,81,1016,6,11,2,52,57,70.4,0,1999,0
Raghib Ismail,80,1097,6,17,4,76,40,50.0,1,1999,0
Johnnie Morton,80,1129,5,15,6,48,52,65.0,0,1999,0
Randy Moss,80,1413,11,26,8,67,52,65.0,1,1999,1
Frank Sanders,79,954,1,11,1,63,56,70.9,2,1999,0
Rod Smith,79,1020,4,12,1,71,48,60.8,1,1999,0
Amani Toomer,79,1183,6,18,2,80,51,64.6,0,1999,0
Keenan McCardell,78,891,5,11,1,49,50,64.1,1,1999,0
Isaac Bruce,77,1165,12,19,5,60,54,70.1,0,1999,1
Tony Gonzalez,76,849,11,8,1,73,47,61.8,2,1999,0
Antonio Freeman,74,1074,6,14,4,51,51,68.9,1,1999,0
Bill Schroeder,74,1051,5,16,3,51,52,70.3,3,1999,0
Ike Hilliard,72,996,3,16,1,46,50,69.4,0,1999,0
Dorsey Levens,71,573,1,8,1,53,26,36.6,0,1999,0
Ed McCaffrey,71,1018,7,17,4,78,46,64.8,0,1999,0
Marvin Harrison,102,1413,14,16,4,78,70,68.6,2,2000,1
Muhsin Muhammad,102,1183,6,14,0,36,62,60.8,1,2000,0
Ed McCaffrey,101,1317,9,19,4,61,68,67.3,0,2000,0
Rod Smith,100,1602,8,30,2,49,77,77.0,1,2000,1
Terrell Owens,97,1451,13,23,5,69,65,67.0,2,2000,1
Cris Carter,96,1274,9,16,2,53,73,76.0,3,2000,1
Joe Horn,94,1340,8,19,5,52,63,67.0,1,2000,1
Keenan McCardell,94,1207,5,13,3,67,58,61.7,3,2000,0
Eric Moulds,94,1326,5,23,4,52,62,66.0,1,2000,1
Tony Gonzalez,93,1203,9,16,0,39,66,71.0,0,2000,0
Jimmy Smith,91,1213,8,15,5,65,60,65.9,1,2000,1
Richie Anderson,88,853,2,9,1,41,36,40.9,2,2000,0
Isaac Bruce,87,1471,9,24,6,78,66,75.9,1,2000,1
Troy Brown,83,944,4,12,1,44,45,54.2,1,2000,0
Torry Holt,82,1635,6,30,10,85,60,73.2,2,2000,1
Larry Centers,81,600,3,1,0,26,27,33.3,1,2000,0
Marshall Faulk,81,830,8,6,2,72,42,51.8,0,2000,0
Terry Glenn,79,963,6,9,0,39,57,72.2,0,2000,0
Derrick Alexander,78,1391,10,24,7,81,55,70.5,0,2000,0
Amani Toomer,78,1094,7,15,4,54,60,76.9,1,2000,0
Randy Moss,77,1437,15,25,8,78,58,75.3,2,2000,1
Tim Brown,76,1128,11,19,3,45,59,77.6,0,2000,0
Jerry Rice,75,805,7,8,1,68,48,64.0,2,2000,0
Ahman Green,73,559,3,2,0,31,29,39.7,3,2000,0
Michael Pittman,73,579,2,5,0,36,17,23.3,2,2000,0
Rod Smith,113,1343,11,14,2,65,75,66.4,1,2001,1
Jimmy Smith,112,1373,8,20,0,35,68,60.7,1,2001,1
Marvin Harrison,109,1524,15,19,6,68,75,68.8,0,2001,1
Keyshawn Johnson,106,1266,1,19,1,47,67,63.2,2,2001,1
Troy Brown,101,1199,5,11,3,60,59,58.4,0,2001,1
Marty Booker,100,1071,8,12,4,66,56,56.0,2,2001,0
David Boston,98,1598,8,28,7,61,72,73.5,1,2001,1
Hines Ward,94,1003,4,13,0,34,52,55.3,1,2001,1
Keenan McCardell,93,1110,6,11,2,45,58,62.4,1,2001,0
Terrell Owens,93,1412,16,21,6,60,70,75.3,0,2001,1
Tim Brown,91,1165,9,18,2,46,61,67.0,0,2001,1
Kevin Johnson,84,1097,9,15,2,55,54,64.3,2,2001,0
Marshall Faulk,83,765,9,5,1,65,40,48.2,1,2001,0
Joe Horn,83,1265,9,23,6,56,59,71.1,1,2001,1
Jerry Rice,83,1139,9,18,2,40,62,74.7,1,2001,0
Randy Moss,82,1233,10,14,4,73,59,72.0,0,2001,0
Torry Holt,81,1363,7,26,6,51,58,71.6,2,2001,1
Willie Jackson,81,1046,5,14,3,63,54,66.7,0,2001,0
Larry Centers,80,620,2,2,0,26,33,41.2,2,2001,0
Johnnie Morton,77,1154,4,15,3,76,58,75.3,1,2001,0
Qadry Ismail,74,1059,7,17,3,77,50,67.6,1,2001,0
Cris Carter,73,871,6,11,4,52,44,60.3,2,2001,0
Tony Gonzalez,73,917,6,13,0,36,49,67.1,0,2001,0
Derrick Mason,73,1128,9,19,5,71,50,68.5,0,2001,0
Shannon Sharpe,73,811,2,8,0,37,43,58.9,1,2001,0
Marvin Harrison,143,1722,11,22,4,69,92,64.3,0,2002,1
Hines Ward,112,1329,12,19,2,72,66,58.9,1,2002,1
Randy Moss,106,1347,7,19,6,60,66,62.3,1,2002,1
Eric Moulds,100,1292,10,14,6,70,64,64.0,1,2002,1
Terrell Owens,100,1300,13,17,5,76,61,61.0,0,2002,1
Marty Booker,97,1189,6,20,3,54,54,55.7,0,2002,1
Troy Brown,97,890,3,3,0,38,48,49.5,2,2002,0
Peerless Price,94,1252,9,16,6,73,57,60.6,2,2002,0
Jerry Rice,92,1211,7,12,3,75,59,64.1,1,2002,1
Charlie Garner,91,941,4,8,3,69,44,48.4,0,2002,0
Torry Holt,91,1302,4,17,3,58,69,75.8,1,2002,0
Laveranues Coles,89,1264,5,19,2,43,67,75.3,1,2002,0
Rod Smith,89,1027,5,11,1,46,53,59.6,1,2002,0
Joe Horn,88,1312,7,19,6,63,65,73.9,1,2002,1
Amani Toomer,82,1343,8,24,4,82,59,72.0,0,2002,0
Tim Brown,81,930,2,11,2,45,48,59.3,0,2002,0
Marshall Faulk,80,537,2,3,1,40,23,28.8,2,2002,0
Jimmy Smith,80,1027,7,15,1,47,53,66.2,0,2002,0
Isaac Bruce,79,1075,7,20,0,34,50,63.3,2,2002,0
Derrick Mason,79,1012,5,12,1,40,56,70.9,1,2002,0
LaDainian Tomlinson,79,489,1,2,0,30,20,25.3,1,2002,0
Plaxico Burress,78,1325,7,21,5,62,64,82.0,2,2002,0
Koren Robinson,78,1240,5,19,4,83,58,74.4,2,2002,0
Keyshawn Johnson,76,1088,5,14,1,76,53,69.7,0,2002,0
Jeremy Shockey,74,894,2,16,0,30,49,66.2,3,2002,0
Torry Holt,117,1696,12,26,4,48,84,71.8,1,2003,1
Randy Moss,111,1632,17,27,6,72,76,68.5,1,2003,1
Anquan Boldin,101,1377,8,20,6,71,62,61.4,2,2003,1
LaDainian Tomlinson,100,725,4,5,2,73,26,26.0,0,2003,0
Derrick Mason,95,1303,8,16,3,50,68,71.6,0,2003,1
Hines Ward,95,1163,10,18,2,50,60,63.2,0,2003,1
Marvin Harrison,94,1272,10,17,4,79,60,63.8,2,2003,1
Chad Johnson,90,1355,10,20,7,82,66,73.3,0,2003,1
Steve Smith,88,1110,7,16,4,67,48,54.6,2,2003,0
Keenan McCardell,84,1174,8,13,4,76,53,63.1,1,2003,1
Laveranues Coles,82,1204,6,21,3,64,54,65.8,0,2003,1
Terrell Owens,80,1102,9,15,4,75,55,68.8,0,2003,1
Peter Warrick,79,819,7,8,1,77,48,60.8,0,2003,0
Joe Horn,78,973,10,10,3,50,52,66.7,2,2003,0
Michael Pittman,75,597,2,5,1,68,21,28.0,2,2003,0
Priest Holmes,74,690,0,7,0,36,36,48.6,0,2003,0
Santana Moss,74,1105,10,17,5,65,49,66.2,2,2003,0
Rod Smith,74,845,3,8,0,38,48,64.9,0,2003,0
Tony Gonzalez,71,916,10,14,2,67,48,67.6,0,2003,0
David Boston,70,880,7,13,2,46,42,60.0,2,2003,0
Tony Gonzalez,102,1258,7,19,0,32,69,67.6,0,2004,0
Derrick Mason,96,1168,7,12,0,37,67,69.8,0,2004,0
Chad Johnson,95,1274,9,17,5,53,63,66.3,1,2004,1
Torry Holt,94,1372,10,21,4,75,58,61.7,3,2004,1
Joe Horn,94,1399,11,22,4,57,73,77.7,0,2004,1
Muhsin Muhammad,93,1405,16,24,3,51,74,79.6,2,2004,1
Laveranues Coles,90,950,1,10,1,45,52,57.8,1,2004,0
Isaac Bruce,89,1292,6,20,1,56,64,71.9,5,2004,0
Javon Walker,89,1382,12,19,7,79,63,70.8,2,2004,1
Eric Moulds,88,1043,5,12,2,49,53,60.2,1,2004,0
Darrell Jackson,87,1199,7,16,2,56,59,67.8,2,2004,0
Jason Witten,87,980,6,13,1,42,44,50.6,2,2004,0
Marvin Harrison,86,1113,15,16,3,59,63,73.3,1,2004,1
Donald Driver,84,1208,9,16,4,50,59,70.2,1,2004,0
Eric Johnson,82,825,2,4,0,25,45,54.9,1,2004,0
Antonio Gates,81,964,13,14,1,72,55,67.9,0,2004,0
Drew Bennett,80,1247,11,20,5,48,62,77.5,2,2004,0
Michael Clayton,80,1193,7,19,4,75,56,70.0,0,2004,0
Hines Ward,80,1004,4,15,2,58,52,65.0,1,2004,1
Andre Johnson,79,1142,6,18,3,54,53,67.1,1,2004,1
Rod Smith,79,1144,7,14,3,85,52,65.8,1,2004,0
Terrell Owens,77,1200,14,20,9,59,51,66.2,2,2004,1
Reggie Wayne,77,1210,12,19,5,71,59,76.6,0,2004,0
Jimmy Smith,74,1172,6,19,4,65,52,70.3,2,2004,0
T.J. Houshmandzadeh,73,978,4,15,2,62,49,67.1,0,2004,0
Larry Fitzgerald,103,1409,10,27,4,47,67,65.0,0,2005,1
Steve Smith,103,1563,12,22,7,80,70,68.0,1,2005,0
Anquan Boldin,102,1402,7,21,5,54,68,66.7,2,2005,0
Torry Holt,102,1331,9,15,2,44,63,61.8,2,2005,1
Chad Johnson,97,1432,9,16,7,70,74,76.3,1,2005,1
Antonio Gates,89,1101,10,16,0,38,62,69.7,0,2005,0
Donald Driver,86,1221,5,17,5,59,63,73.3,0,2005,0
Derrick Mason,86,1073,3,18,0,39,52,60.5,1,2005,0
Rod Smith,85,1105,6,15,1,72,55,64.7,2,2005,1
Santana Moss,84,1483,9,24,10,78,60,71.4,2,2005,1
Joey Galloway,83,1287,10,19,3,80,57,68.7,0,2005,0
Reggie Wayne,83,1055,5,11,2,66,54,65.1,1,2005,0
Chris Chambers,82,1118,11,18,3,77,59,72.0,3,2005,1
Marvin Harrison,82,1146,12,14,3,80,59,72.0,0,2005,1
Eric Moulds,81,816,4,5,1,55,38,46.9,0,2005,0
Deion Branch,78,998,5,13,1,51,51,65.4,0,2005,0
Tony Gonzalez,78,905,2,9,0,39,45,57.7,0,2005,0
T.J. Houshmandzadeh,78,956,7,14,1,43,52,66.7,1,2005,0
Plaxico Burress,76,1214,7,20,5,78,49,64.5,1,2005,0
Jerry Porter,76,942,5,14,2,49,45,59.2,1,2005,0
Todd Heap,75,855,7,12,1,48,43,57.3,2,2005,0
Laveranues Coles,73,845,5,6,1,43,52,71.2,1,2005,0
Chris Cooley,71,774,7,6,0,32,44,62.0,3,2005,0
Keyshawn Johnson,71,839,6,7,0,34,46,64.8,3,2005,0
LaMont Jordan,70,563,2,4,0,28,25,35.7,0,2005,0
Andre Johnson,103,1147,5,15,3,53,55,53.4,1,2006,1
Mike Furrey,98,1086,6,9,0,31,54,55.1,1,2006,0
Marvin Harrison,95,1366,12,18,4,68,78,82.1,1,2006,1
Torry Holt,93,1188,10,14,2,67,67,72.0,2,2006,1
Donald Driver,92,1295,8,21,5,82,53,57.6,1,2006,1
Laveranues Coles,91,1098,6,12,3,58,52,57.1,1,2006,0
T.J. Houshmandzadeh,90,1081,9,19,1,40,58,64.4,0,2006,0
Steven Jackson,90,806,3,7,1,64,31,34.4,2,2006,0
Kellen Winslow,89,875,3,11,1,40,42,47.2,1,2006,0
Reggie Bush,88,742,2,5,2,74,32,36.4,0,2006,0
Chad Johnson,87,1369,7,16,8,74,66,75.9,1,2006,1
Reggie Wayne,86,1310,9,18,2,51,72,83.7,1,2006,1
Terrell Owens,85,1180,13,18,4,56,62,72.9,0,2006,0
Anquan Boldin,83,1203,4,18,4,64,53,63.9,0,2006,1
Steve Smith,83,1166,8,17,4,72,51,61.4,0,2006,0
Jerricho Cotchery,82,961,6,12,1,71,53,64.6,0,2006,0
Lee Evans,82,1292,8,15,6,83,53,64.6,1,2006,0
Roy Williams,82,1310,7,24,3,60,66,80.5,2,2006,1
Brian Westbrook,77,699,4,9,1,52,30,39.0,1,2006,0
Isaac Bruce,74,1098,3,23,4,45,54,73.0,0,2006,0
Hines Ward,74,975,6,13,2,70,50,67.6,2,2006,0
Tony Gonzalez,73,900,5,9,1,57,54,74.0,1,2006,0
Todd Heap,73,765,6,7,0,30,40,54.8,0,2006,0
Antonio Gates,71,924,9,14,1,57,49,69.0,0,2006,0
Marques Colston,70,1038,8,15,3,86,51,72.9,0,2006,0
T.J. Houshmandzadeh,112,1143,12,9,1,42,70,62.5,2,2007,1
Wes Welker,112,1175,8,10,1,42,65,58.0,2,2007,0
Reggie Wayne,104,1510,10,25,5,64,72,69.2,3,2007,1
Derrick Mason,103,1087,5,7,1,79,60,58.2,1,2007,0
Brandon Marshall,102,1325,7,13,3,68,70,68.6,3,2007,0
Larry Fitzgerald,100,1409,10,19,4,48,69,69.0,3,2007,1
Tony Gonzalez,99,1172,5,14,0,31,59,59.6,0,2007,0
Marques Colston,98,1202,11,14,2,45,64,65.3,1,2007,0
Randy Moss,98,1493,23,18,9,65,74,75.5,0,2007,1
Jason Witten,96,1145,7,12,2,53,56,58.3,1,2007,0
Bobby Engram,94,1147,6,12,1,49,63,67.0,1,2007,0
Torry Holt,93,1189,7,16,1,40,63,67.7,2,2007,1
Chad Johnson,93,1440,8,27,4,70,74,79.6,2,2007,1
Brian Westbrook,90,771,5,7,3,57,31,34.4,1,2007,0
Steve Smith,87,1002,7,9,4,74,43,49.4,1,2007,0
Roddy White,83,1202,6,19,2,69,52,62.6,3,2007,0
Jerricho Cotchery,82,1130,2,18,4,50,51,62.2,1,2007,0
Donald Driver,82,1048,2,14,4,47,49,59.8,1,2007,1
Kellen Winslow,82,1106,5,17,1,49,56,68.3,2,2007,0
Terrell Owens,81,1355,15,22,6,52,69,85.2,0,2007,1
Braylon Edwards,80,1289,16,21,4,78,57,71.2,3,2007,1
Shaun McDonald,79,943,6,12,1,49,46,58.2,2,2007,0
Kevin Curtis,77,1110,6,14,4,75,49,63.6,0,2007,0
Antonio Gates,75,984,9,15,1,49,54,72.0,0,2007,0
