Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Year,pro_bowl
Reggie Bush,73,417,2,1,0,25,24,32.9,0,2007,0
Andre Johnson,115,1575,8,20,4,65,79,68.7,1,2008,1
Wes Welker,111,1165,3,13,1,64,57,51.4,1,2008,1
Brandon Marshall,104,1265,6,16,1,47,65,62.5,3,2008,1
Larry Fitzgerald,96,1431,12,20,5,78,66,68.8,1,2008,1
Tony Gonzalez,96,1058,10,10,0,35,67,69.8,0,2008,0
T.J. Houshmandzadeh,92,904,4,10,1,46,51,55.4,0,2008,0
Eddie Royal,91,980,5,8,2,93,43,47.2,1,2008,0
Anquan Boldin,89,1038,11,10,3,79,56,62.9,3,2008,1
Roddy White,88,1382,7,18,4,70,61,69.3,1,2008,1
Dwayne Bowe,86,1022,7,12,0,36,49,57.0,0,2008,0
Antonio Bryant,83,1248,7,16,4,71,60,72.3,1,2008,0
Chris Cooley,83,849,1,7,0,28,43,51.8,3,2008,0
Reggie Wayne,82,1145,6,13,3,65,63,76.8,0,2008,1
Hines Ward,81,1043,7,15,2,49,55,67.9,1,2008,0
Jason Witten,81,952,4,14,1,42,50,61.7,0,2008,0
Greg Jennings,80,1292,9,21,8,63,55,68.8,1,2008,0
Derrick Mason,80,1037,5,12,1,54,60,75.0,2,2008,0
Lance Moore,79,928,10,8,2,70,40,50.6,0,2008,0
Santana Moss,79,1044,6,15,3,67,50,63.3,1,2008,0
Calvin Johnson,78,1331,12,21,7,96,52,66.7,2,2008,0
Steve Smith,78,1421,6,23,6,65,59,75.6,1,2008,0
Steve Breaston,77,1006,3,13,3,58,44,57.1,0,2008,0
Dallas Clark,77,848,6,13,0,33,41,53.2,2,2008,0
Donald Driver,74,1012,5,13,6,71,44,59.5,0,2008,0
Jerricho Cotchery,71,858,5,11,3,56,43,60.6,2,2008,0
Wes Welker,123,1348,4,8,3,58,71,57.7,1,2009,1
Steve Smith,107,1220,7,14,2,51,61,57.0,0,2009,0
Andre Johnson,101,1569,9,22,9,72,69,68.3,1,2009,1
Brandon Marshall,101,1120,10,11,4,75,56,55.4,0,2009,1
Dallas Clark,100,1106,10,11,3,80,59,59.0,1,2009,0
Reggie Wayne,100,1264,10,20,1,65,73,73.0,0,2009,1
Larry Fitzgerald,97,1092,13,12,0,34,69,71.1,0,2009,1
Hines Ward,95,1167,6,15,4,54,56,59.0,2,2009,0
Jason Witten,94,1030,2,11,2,69,48,51.1,0,2009,0
Roddy White,85,1153,11,13,4,90,54,63.5,1,2009,0
Anquan Boldin,84,1024,4,10,1,44,49,58.3,3,2009,0
Tony Gonzalez,83,867,6,4,0,27,54,65.1,0,2009,0
Randy Moss,83,1264,13,18,7,71,62,74.7,2,2009,0
Sidney Rice,83,1312,8,19,7,63,59,71.1,1,2009,1
Miles Austin,81,1320,11,21,8,60,59,72.8,1,2009,1
Antonio Gates,79,1157,8,18,1,56,61,77.2,1,2009,0
Santonio Holmes,79,1248,5,21,3,57,63,79.8,0,2009,0
T.J. Houshmandzadeh,79,911,3,11,1,53,52,65.8,2,2009,0
Vernon Davis,78,965,13,13,3,73,40,51.3,0,2009,0
Ray Rice,78,702,1,7,3,63,28,35.9,1,2009,0
Kellen Winslow,77,884,5,10,1,42,47,61.0,0,2009,0
Davone Bess,76,758,2,6,0,34,48,63.2,2,2009,0
Brent Celek,76,971,8,16,3,47,42,55.3,0,2009,0
Heath Miller,76,789,6,8,1,41,37,48.7,2,2009,0
Derrick Mason,73,1028,7,9,4,72,55,75.3,0,2009,0
Roddy White,115,1389,10,15,3,46,73,63.5,1,2010,1
Reggie Wayne,111,1355,6,13,4,50,72,64.9,1,2010,1
Jason Witten,94,1002,9,13,0,33,49,52.1,1,2010,0
Santana Moss,93,1115,6,9,3,56,61,65.6,3,2010,0
Larry Fitzgerald,90,1137,6,14,1,41,59,65.6,0,2010,0
Andre Johnson,86,1216,8,18,5,60,59,68.6,1,2010,1
Brandon Marshall,86,1014,3,9,2,46,57,66.3,2,2010,0
Wes Welker,86,848,7,6,0,35,47,54.6,0,2010,0
Danny Amendola,85,689,3,2,0,36,35,41.2,1,2010,0
Marques Colston,84,1023,7,12,1,43,57,67.9,0,2010,0
Steve Johnson,82,1073,10,11,2,45,61,74.4,1,2010,0
Davone Bess,79,820,5,8,0,29,43,54.4,0,2010,0
Hakeem Nicks,79,1052,11,20,1,46,55,69.6,1,2010,0
LeSean McCoy,78,592,2,6,1,40,31,39.7,1,2010,0
Chris Cooley,77,849,3,9,0,35,40,52.0,3,2010,0
Calvin Johnson,77,1120,12,16,3,87,57,74.0,1,2010,1
Brandon Lloyd,77,1448,11,23,9,71,72,93.5,0,2010,1
Greg Jennings,76,1265,12,21,6,86,52,68.4,2,2010,1
Dwayne Bowe,72,1162,15,19,4,75,55,76.4,1,2010,1
Terrell Owens,72,983,9,15,3,78,47,65.3,0,2010,0
Percy Harvin,71,868,5,14,2,53,41,57.8,0,2010,0
Brandon Pettigrew,71,722,4,8,0,35,35,49.3,0,2010,0
Tony Gonzalez,70,656,6,5,0,34,39,55.7,0,2010,0
Jeremy Maclin,70,964,10,13,4,83,45,64.3,1,2010,0
Wes Welker,122,1569,9,21,4,99,77,63.1,0,2011,1
Roddy White,100,1296,8,18,1,43,77,77.0,0,2011,0
Jimmy Graham,99,1310,11,18,2,59,74,74.8,1,2011,0
Calvin Johnson,96,1681,16,32,10,73,77,80.2,1,2011,1
Rob Gronkowski,90,1327,17,22,3,52,69,76.7,0,2011,0
Percy Harvin,87,967,6,14,2,52,45,51.7,2,2011,0
Darren Sproles,86,710,7,7,0,39,35,40.7,0,2011,0
Brandon Pettigrew,83,777,5,7,0,27,37,44.6,0,2011,0
Victor Cruz,82,1536,9,25,9,99,59,72.0,1,2011,0
Dwayne Bowe,81,1159,5,19,3,52,57,70.4,1,2011,0
Brandon Marshall,81,1214,6,20,4,65,53,65.4,1,2011,1
Marques Colston,80,1143,8,15,2,50,55,68.8,1,2011,0
Larry Fitzgerald,80,1411,8,25,8,73,61,76.2,0,2011,1
Tony Gonzalez,80,875,7,8,0,30,53,66.2,0,2011,0
Aaron Hernandez,79,910,7,12,2,46,46,58.2,1,2011,0
Steve Smith,79,1394,7,29,5,77,53,67.1,3,2011,0
Jason Witten,79,942,5,15,2,64,47,59.5,1,2011,0
Steve Johnson,76,1004,7,13,4,55,45,59.2,0,2011,0
Hakeem Nicks,76,1192,7,17,5,68,54,71.0,0,2011,0
Ray Rice,76,704,3,7,2,52,30,39.5,0,2011,0
Reggie Wayne,75,960,4,12,2,56,50,66.7,0,2011,0
Kellen Winslow,75,763,2,5,0,37,40,53.3,2,2011,0
Nate Washington,74,1023,7,13,6,57,47,63.5,0,2011,0
Nate Burleson,73,757,3,7,1,47,36,49.3,1,2011,0
Michael Crabtree,72,874,4,12,3,52,40,55.6,0,2011,0
Calvin Johnson,122,1964,5,40,5,53,92,75.4,3,2012,1
Brandon Marshall,118,1508,11,18,2,56,75,63.6,2,2012,1
Wes Welker,118,1354,6,13,2,59,72,61.0,2,2012,1
Andre Johnson,112,1598,4,23,5,60,79,70.5,0,2012,1
Jason Witten,110,1039,3,8,0,36,56,50.9,0,2012,0
Reggie Wayne,106,1355,5,22,0,33,73,68.9,1,2012,1
A.J. Green,97,1350,11,16,7,73,61,62.9,2,2012,1
Demaryius Thomas,94,1434,10,29,5,71,60,63.8,3,2012,0
Tony Gonzalez,93,930,8,3,0,25,65,69.9,0,2012,0
Dez Bryant,92,1382,12,19,6,85,54,58.7,2,2012,0
Roddy White,92,1351,7,18,4,59,73,79.4,1,2012,0
Victor Cruz,86,1092,10,12,3,80,52,60.5,0,2012,1
Michael Crabtree,85,1105,9,15,1,49,57,67.1,0,2012,0
Eric Decker,85,1064,13,11,2,55,52,61.2,0,2012,0
Jimmy Graham,85,982,9,12,1,46,59,69.4,1,2012,0
Marques Colston,83,1154,10,15,2,60,65,78.3,4,2012,0
Randall Cobb,80,954,8,17,0,39,45,56.2,0,2012,0
Steve Johnson,79,1046,6,12,2,63,52,65.8,1,2012,0
Julio Jones,79,1198,10,17,5,80,56,70.9,0,2012,1
Brandon Myers,79,806,4,9,0,29,41,51.9,0,2012,0
Darren Sproles,75,667,7,7,1,44,29,38.7,0,2012,0
Brian Hartline,74,1083,1,14,3,80,48,64.9,1,2012,0
Brandon Lloyd,74,911,4,10,1,53,50,67.6,0,2012,0
Steve Smith,73,1174,4,17,3,66,51,69.9,0,2012,0
Vincent Jackson,72,1384,8,24,6,95,61,84.7,0,2012,0
Pierre Garcon,113,1346,5,16,2,53,60,53.1,1,2013,0
Antonio Brown,110,1499,8,23,6,56,69,62.7,0,2013,1
Andre Johnson,109,1407,5,20,3,62,69,63.3,0,2013,1
Julian Edelman,105,1056,6,9,2,44,54,51.4,0,2013,0
Brandon Marshall,100,1295,12,16,3,44,70,70.0,0,2013,1
A.J. Green,98,1426,11,18,9,82,65,66.3,1,2013,1
Kendall Wright,94,1079,2,17,1,45,52,55.3,2,2013,0
Dez Bryant,93,1233,13,14,4,79,67,72.0,3,2013,1
Demaryius Thomas,92,1430,14,19,5,78,66,71.7,1,2013,1
Alshon Jeffery,89,1421,7,20,7,80,62,69.7,3,2013,0
Eric Decker,87,1288,11,19,6,61,63,72.4,2,2013,0
Josh Gordon,87,1646,9,30,9,95,64,73.6,0,2013,1
Jimmy Graham,86,1215,16,19,5,56,61,70.9,0,2013,0
Anquan Boldin,85,1179,7,19,3,63,62,72.9,0,2013,0
Harry Douglas,85,1067,2,13,5,80,47,55.3,2,2013,0
Jordy Nelson,85,1314,8,22,3,76,60,70.6,0,2013,0
Calvin Johnson,84,1492,12,22,5,87,69,82.1,1,2013,1
Tony Gonzalez,83,859,8,5,0,25,56,67.5,0,2013,0
Larry Fitzgerald,82,954,10,11,3,75,49,59.8,1,2013,0
T.Y. Hilton,82,1083,5,13,6,73,46,56.1,0,2013,0
DeSean Jackson,82,1332,9,25,8,61,60,73.2,1,2013,0
Jordan Cameron,80,917,7,11,1,53,47,58.8,1,2013,0
Vincent Jackson,78,1224,7,19,5,60,60,76.9,1,2013,0
Antonio Gates,77,872,4,11,1,56,49,63.6,2,2013,0
Pierre Thomas,77,513,3,5,0,29,21,27.3,1,2013,0
Antonio Brown,129,1698,13,19,4,63,85,65.9,1,2014,1
Demaryius Thomas,111,1619,11,25,6,86,69,62.2,0,2014,1
Julio Jones,104,1593,6,31,3,79,76,73.1,2,2014,1
Matt Forte,102,808,4,7,1,56,28,27.4,1,2014,0
Emmanuel Sanders,101,1404,9,24,4,48,69,68.3,1,2014,0
Golden Tate,99,1331,4,17,5,73,58,58.6,1,2014,0
Jordy Nelson,98,1519,13,19,8,80,71,72.4,0,2014,1
Julian Edelman,92,972,4,7,3,69,49,53.3,2,2014,0
Odell Beckham Jr.,91,1305,12,16,6,80,57,62.6,0,2014,0
Randall Cobb,91,1287,12,24,3,70,71,78.0,1,2014,0
Martellus Bennett,90,916,6,11,0,37,43,47.8,0,2014,0
Dez Bryant,88,1320,16,22,5,68,60,68.2,0,2014,1
Jimmy Graham,85,889,10,8,0,29,54,63.5,2,2014,0
Alshon Jeffery,85,1133,10,17,3,74,60,70.6,0,2014,0
Andre Johnson,85,936,3,14,0,35,49,57.6,3,2014,0
Jeremy Maclin,85,1318,10,21,7,72,56,65.9,0,2014,0
Jarvis Landry,84,758,5,6,0,25,48,57.1,1,2014,0
Greg Olsen,84,1008,6,9,0,38,56,66.7,1,2014,0
Le'Veon Bell,83,854,3,10,3,48,41,49.4,0,2014,0
Anquan Boldin,83,1062,5,14,1,76,56,67.5,0,2014,0
Rob Gronkowski,82,1124,12,19,1,46,60,73.2,0,2014,0
T.Y. Hilton,82,1345,7,21,6,73,62,75.6,3,2014,1
Roddy White,80,921,7,14,0,39,54,67.5,3,2014,0
Steve Smith,79,1065,6,15,5,80,45,57.0,2,2014,0
Keenan Allen,77,783,4,6,0,35,41,53.2,1,2014,0
Antonio Brown,136,1834,10,25,8,59,84,61.8,1,2015,1
Julio Jones,136,1871,8,25,5,70,93,68.4,3,2015,1
DeAndre Hopkins,111,1521,11,19,3,61,83,74.8,1,2015,1
Jarvis Landry,110,1157,4,10,3,50,60,54.6,0,2015,0
Larry Fitzgerald,109,1215,9,17,1,44,65,59.6,2,2015,1
Brandon Marshall,109,1502,14,19,5,69,76,69.7,3,2015,1
Demaryius Thomas,105,1304,6,14,4,72,63,60.0,2,2015,0
Odell Beckham Jr.,96,1450,13,19,8,87,67,69.8,2,2015,1
Delanie Walker,94,1088,6,13,2,61,52,55.3,0,2015,0
Golden Tate,90,813,6,7,1,43,50,55.6,1,2015,0
Calvin Johnson,88,1214,9,16,3,57,65,73.9,1,2015,1
Jeremy Maclin,87,1088,8,14,3,61,49,56.3,2,2015,0
Jordan Reed,87,952,11,14,0,32,54,62.1,3,2015,0
A.J. Green,86,1297,10,19,5,80,63,73.3,1,2015,1
Michael Crabtree,85,922,9,15,0,38,45,52.9,1,2015,0
Jordan Matthews,85,997,8,14,3,78,44,51.8,2,2015,0
Brandin Cooks,84,1138,9,18,5,71,45,53.6,1,2015,0
Eric Decker,80,1027,12,16,0,35,60,75.0,1,2015,0
Theo Riddick,80,697,3,7,0,34,32,40.0,0,2015,0
Allen Robinson,80,1400,14,31,6,90,61,76.2,0,2015,0
Danny Woodhead,80,755,6,7,1,61,39,48.8,0,2015,0
Gary Barnidge,79,1043,9,16,1,40,52,65.8,0,2015,0
Randall Cobb,79,829,6,11,1,53,42,53.2,0,2015,0
Doug Baldwin,78,1069,14,16,3,80,47,60.3,1,2015,0
Greg Olsen,77,1104,7,20,1,52,52,67.5,1,2015,0
Larry Fitzgerald,107,1023,6,8,0,32,59,55.1,2,2016,1
Antonio Brown,106,1284,12,22,3,51,64,60.4,0,2016,1
Odell Beckham Jr.,101,1367,10,20,6,75,65,64.4,2,2016,1
Julian Edelman,98,1106,3,11,1,77,55,56.1,1,2016,0
Jordy Nelson,97,1257,14,19,4,60,62,63.9,1,2016,0
Mike Evans,96,1321,12,15,1,45,81,84.4,0,2016,1
Doug Baldwin,94,1128,7,16,5,59,52,55.3,1,2016,0
Jarvis Landry,94,1136,4,16,3,71,52,55.3,1,2016,0
Michael Thomas,92,1137,9,18,1,46,62,67.4,2,2016,0
T.Y. Hilton,91,1448,6,28,2,63,66,72.5,0,2016,1
Golden Tate,91,1077,4,13,4,67,46,50.6,1,2016,0
Demaryius Thomas,90,1083,5,10,3,55,50,55.6,2,2016,0
Michael Crabtree,89,1003,8,10,3,56,56,62.9,2,2016,0
Dennis Pitta,86,729,2,4,0,30,37,43.0,1,2016,0
Travis Kelce,85,1125,4,14,3,80,55,64.7,0,2016,0
Stefon Diggs,84,903,3,10,3,46,47,56.0,0,2016,0
Amari Cooper,83,1153,5,21,2,64,47,56.6,2,2016,1
Julio Jones,83,1409,6,27,5,75,64,77.1,0,2016,1
Kyle Rudolph,83,840,7,11,1,44,50,60.2,0,2016,0
David Johnson,80,879,4,13,1,58,42,52.5,0,2016,0
Greg Olsen,80,1073,3,14,1,78,54,67.5,0,2016,0
Pierre Garcon,79,1041,3,15,3,70,52,65.8,0,2016,0
Emmanuel Sanders,79,1032,5,12,2,64,50,63.3,1,2016,0
Brandin Cooks,78,1173,8,15,6,98,45,57.7,1,2016,0
Zach Ertz,78,816,4,9,0,30,42,53.8,0,2016,0
Jarvis Landry,112,987,9,6,1,49,60,53.6,3,2017,0
Larry Fitzgerald,109,1156,6,16,0,37,66,60.6,1,2017,1
Michael Thomas,104,1245,5,22,1,43,70,67.3,0,2017,1
Keenan Allen,102,1393,6,18,4,51,74,72.6,1,2017,1
Antonio Brown,101,1533,9,27,7,57,71,70.3,3,2017,1
DeAndre Hopkins,96,1378,13,24,2,72,69,71.9,1,2017,1
Golden Tate,92,1003,5,10,3,71,44,47.8,1,2017,0
Adam Thielen,91,1276,4,20,5,65,59,64.8,3,2017,1
Julio Jones,88,1444,3,23,4,53,67,76.1,0,2017,1
Le'Veon Bell,85,655,2,5,1,42,31,36.5,1,2017,0
Travis Kelce,83,1038,8,19,1,44,55,66.3,0,2017,0
Demaryius Thomas,83,949,5,15,1,40,53,63.9,1,2017,0
Alvin Kamara,81,826,5,11,1,40,38,46.9,0,2017,0
Jack Doyle,80,690,4,4,0,26,34,42.5,2,2017,0
Christian McCaffrey,80,651,5,7,0,37,36,45.0,0,2017,0
Doug Baldwin,75,991,8,18,3,54,44,58.7,0,2017,0
A.J. Green,75,1078,8,9,4,77,55,73.3,2,2017,1
Tyreek Hill,75,1183,7,15,9,79,41,54.7,0,2017,0
Davante Adams,74,885,10,8,3,55,45,60.8,0,2017,0
Zach Ertz,74,824,8,7,2,53,46,62.2,1,2017,0
Duke Johnson,74,693,3,9,1,41,31,41.9,2,2017,0
Delanie Walker,74,807,3,9,1,42,43,58.1,2,2017,0
Mike Evans,71,1001,5,9,2,42,55,77.5,1,2017,0
Michael Thomas,125,1405,9,17,2,72,75,60.0,2,2018,1
Zach Ertz,116,1163,8,13,0,34,66,56.9,1,2018,0
DeAndre Hopkins,115,1572,11,23,4,49,81,70.4,2,2018,1
Julio Jones,113,1677,8,24,2,58,80,70.8,2,2018,1
Adam Thielen,113,1373,9,17,3,68,74,65.5,1,2018,1
Davante Adams,111,1386,13,18,5,57,64,57.7,0,2018,1
JuJu Smith-Schuster,111,1426,7,18,5,97,68,61.3,1,2018,0
Christian McCaffrey,107,867,6,11,0,38,41,38.3,2,2018,0
Antonio Brown,104,1297,15,17,6,78,63,60.6,0,2018,1
Travis Kelce,103,1336,10,18,2,43,68,66.0,2,2018,0
Stefon Diggs,102,1021,9,13,2,75,49,48.0,0,2018,0
Keenan Allen,97,1196,6,13,1,54,62,63.9,1,2018,1
Saquon Barkley,91,721,4,5,2,57,30,33.0,0,2018,0
George Kittle,88,1377,5,20,6,85,60,68.2,0,2018,0
Tyreek Hill,87,1479,12,27,8,75,60,69.0,0,2018,1
James White,87,751,7,3,1,42,38,43.7,0,2018,0
Mike Evans,86,1524,8,26,6,72,69,80.2,1,2018,0
Robert Woods,86,1219,6,20,0,39,66,76.7,0,2018,0
Alvin Kamara,81,709,4,7,1,42,31,38.3,0,2018,0
Jarvis Landry,81,976,4,13,2,51,44,54.3,1,2018,0
Brandin Cooks,80,1204,5,22,4,57,56,70.0,1,2018,0
Odell Beckham Jr.,77,1052,6,17,3,51,51,66.2,0,2018,0
Ezekiel Elliott,77,567,3,4,0,38,22,28.6,0,2018,0
Tyler Boyd,76,1028,7,21,1,49,54,71.0,0,2018,0
T.Y. Hilton,76,1270,6,22,6,68,55,72.4,0,2018,0
Michael Thomas,149,1725,9,17,3,49,91,61.1,1,2019,1
Christian McCaffrey,116,1005,4,7,0,28,58,50.0,0,2019,0
Keenan Allen,104,1199,6,15,1,45,63,60.6,0,2019,1
DeAndre Hopkins,104,1165,7,16,1,43,68,65.4,0,2019,1
Julian Edelman,100,1117,6,13,1,44,54,54.0,3,2019,0
Julio Jones,99,1394,6,21,3,54,77,77.8,1,2019,1
Allen Robinson,98,1147,7,15,1,49,63,64.3,0,2019,0
Travis Kelce,97,1229,5,13,3,47,65,67.0,1,2019,0
Cooper Kupp,94,1161,10,21,4,66,51,54.3,3,2019,0
Austin Ekeler,92,993,8,9,3,84,42,45.6,2,2019,0
Tyler Boyd,90,1046,5,12,3,47,51,56.7,2,2019,0
Darren Waller,90,1145,3,14,2,75,53,58.9,1,2019,0
Robert Woods,90,1134,2,14,1,48,54,60.0,0,2019,0
Zach Ertz,88,916,6,12,0,30,50,56.8,1,2019,0
DJ Moore,87,1175,4,13,4,52,63,72.4,2,2019,0
Chris Godwin,86,1333,9,25,3,71,63,73.3,0,2019,1
George Kittle,85,1053,5,16,2,61,53,62.4,1,2019,0
Davante Adams,83,997,5,12,2,58,54,65.1,2,2019,1
Jarvis Landry,83,1174,6,20,2,65,55,66.3,0,2019,1
Tyler Lockett,82,1057,8,15,3,44,53,64.6,1,2019,0
Alvin Kamara,81,533,1,2,1,41,28,34.6,1,2019,0
Tarik Cohen,79,456,3,2,0,31,18,22.8,1,2019,0
Amari Cooper,79,1189,8,17,6,53,54,68.4,0,2019,1
Jamison Crowder,78,833,6,11,1,41,41,52.6,0,2019,0
Leonard Fournette,76,522,0,3,0,27,23,30.3,1,2019,0
Stefon Diggs,127,1535,8,20,5,55,73,57.5,0,2020,1
Davante Adams,115,1374,18,18,5,56,73,63.5,1,2020,1
DeAndre Hopkins,115,1407,6,17,6,60,75,65.2,3,2020,1
Darren Waller,107,1196,9,16,0,38,69,64.5,2,2020,0
Travis Kelce,105,1416,11,23,2,45,79,75.2,1,2020,0
Allen Robinson,102,1250,6,22,1,42,68,66.7,0,2020,0
Keenan Allen,100,992,8,10,0,28,61,61.0,3,2020,1
Tyler Lockett,100,1054,10,10,2,47,57,57.0,1,2020,0
JuJu Smith-Schuster,97,831,9,13,0,31,48,49.5,3,2020,0
Robbie Chosen,95,1096,3,16,2,75,49,51.6,1,2020,0
Amari Cooper,92,1114,5,13,3,69,54,58.7,0,2020,0
Cooper Kupp,92,974,3,12,2,55,45,48.9,0,2020,0
Calvin Ridley,90,1374,9,23,3,63,65,72.2,1,2020,0
Robert Woods,90,936,6,11,1,56,46,51.1,1,2020,0
Justin Jefferson,88,1400,7,23,4,71,58,65.9,1,2020,1
Diontae Johnson,88,923,7,10,4,47,45,51.1,1,2020,0
Tyreek Hill,87,1276,15,20,5,75,57,65.5,0,2020,1
Terry McLaurin,87,1118,4,17,3,68,51,58.6,1,2020,0
Alvin Kamara,83,756,5,9,2,52,35,42.2,0,2020,0
DK Metcalf,83,1303,10,17,5,62,63,75.9,1,2020,0
Cole Beasley,82,967,4,15,0,35,53,64.6,0,2020,0
Brandin Cooks,81,1150,6,20,3,57,52,64.2,0,2020,0
J.D. McKissic,80,589,2,2,0,29,32,40.0,2,2020,0
Tyler Boyd,79,841,4,7,1,72,43,54.4,1,2020,0
Curtis Samuel,77,851,3,12,1,44,39,50.6,1,2020,0
