Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year,pro_bowl
Emmitt Smith,1484,368,21,7,1,46,101,27.4,1,1994,1
Natrone Means,1350,343,12,4,0,25,79,23.0,5,1994,1
Chris Warren,1545,333,9,13,1,41,71,21.3,5,1994,1
Barry Sanders,1883,331,7,18,7,85,72,21.8,0,1994,1
Rodney Hampton,1075,327,6,2,0,27,58,17.7,0,1994,0
Jerome Bettis,1025,319,3,0,0,19,53,16.6,5,1994,1
Marshall Faulk,1282,314,11,12,2,52,58,18.5,5,1994,1
Thurman Thomas,1093,287,7,4,0,29,62,21.6,1,1994,0
Errict Rhett,1011,284,7,4,0,27,70,24.6,2,1994,0
Harvey Williams,983,282,4,1,0,28,45,16.0,3,1994,0
Lewis Tillman,899,275,7,1,0,25,46,16.7,1,1994,0
Terry Allen,1031,255,8,5,2,45,56,22.0,3,1994,0
Marion Butts,703,243,8,1,0,26,38,15.6,1,1994,0
Johnny Johnson,931,240,3,2,1,90,47,19.6,4,1994,0
Ricky Watters,877,239,6,2,0,23,47,19.7,8,1994,1
Ronald Moore,780,232,4,3,0,24,39,16.8,2,1994,0
Barry Foster,851,216,5,4,0,29,46,21.3,0,1994,0
Bernie Parmalee,868,216,6,3,1,47,55,25.5,4,1994,0
Leroy Hoard,890,209,5,4,0,39,41,19.6,7,1994,0
Bam Morris,836,198,7,1,0,20,50,25.2,3,1994,0
Lorenzo White,757,191,3,3,0,33,37,19.4,2,1994,0
Leonard Russell,620,190,9,5,0,22,43,22.6,2,1994,0
Marcus Allen,709,189,7,2,0,36,47,24.9,3,1994,0
Ricky Ervins,650,185,3,2,1,49,29,15.7,1,1994,0
Craig Heyward,779,183,7,0,0,17,42,23.0,4,1994,0
Emmitt Smith,1773,377,25,10,3,60,107,28.4,7,1995,1
Curtis Martin,1487,368,14,11,1,49,80,21.7,5,1995,1
Terry Allen,1309,338,10,4,0,28,66,19.5,6,1995,0
Ricky Watters,1273,337,11,6,1,57,76,22.6,4,1995,1
Errict Rhett,1207,332,11,2,0,21,76,22.9,2,1995,0
Edgar Bennett,1067,316,3,2,0,23,47,14.9,1,1995,0
Barry Sanders,1500,314,11,16,6,75,70,22.3,2,1995,1
Chris Warren,1346,310,15,6,1,52,77,24.8,4,1995,1
Rodney Hampton,1182,306,10,3,0,32,74,24.2,5,1995,0
Rashaan Salaam,1074,296,10,2,1,42,59,19.9,9,1995,0
Marshall Faulk,1078,289,11,6,1,40,68,23.5,7,1995,1
Garrison Hearst,1070,284,1,6,0,38,52,18.3,12,1995,0
Thurman Thomas,1005,267,6,4,1,49,63,23.6,6,1995,0
Harvey Williams,1114,255,9,8,1,60,59,23.1,5,1995,0
Rodney Thomas,947,251,5,5,2,74,49,19.5,5,1995,0
Mario Bates,951,244,7,5,1,66,50,20.5,2,1995,0
Terrell Davis,1117,237,7,7,1,60,58,24.5,4,1995,0
Craig Heyward,1083,236,6,3,0,31,64,27.1,3,1995,1
Bernie Parmalee,878,236,9,5,1,40,55,23.3,4,1995,0
Derek Loville,723,218,10,1,0,27,47,21.6,1,1995,0
Erric Pegram,813,213,5,2,0,38,34,16.0,6,1995,0
Marcus Allen,890,207,5,4,0,38,51,24.6,1,1995,0
Derrick Moore,740,195,4,3,1,53,35,18.0,4,1995,0
Adrian Murrell,795,192,1,5,0,30,44,22.9,1,1995,0
Natrone Means,730,186,5,4,0,36,39,21.0,2,1995,0
Ricky Watters,1411,353,13,6,4,56,73,20.7,5,1996,1
Terry Allen,1353,347,21,8,1,49,71,20.5,2,1996,1
Terrell Davis,1538,345,13,6,2,71,92,26.7,5,1996,1
Eddie George,1368,335,8,8,3,76,67,20.0,3,1996,0
Emmitt Smith,1204,327,12,3,1,42,75,22.9,2,1996,0
Jerome Bettis,1431,320,11,6,2,50,76,23.8,6,1996,1
Curtis Martin,1152,316,14,3,1,57,76,24.0,3,1996,1
Abdul-Karim al-Jabbar,1116,307,11,3,0,29,64,20.8,4,1996,0
Barry Sanders,1553,307,11,12,4,54,79,25.7,4,1996,1
Adrian Murrell,1249,301,6,7,2,78,65,21.6,5,1996,0
Anthony Johnson,1120,300,6,3,0,29,58,19.3,2,1996,0
Thurman Thomas,1033,281,8,3,0,36,66,23.5,1,1996,0
Rodney Hampton,827,254,1,2,0,25,43,16.9,3,1996,0
Jamal Anderson,1055,232,5,4,0,32,46,19.8,3,1996,0
Garrison Hearst,847,225,0,3,0,24,42,18.7,1,1996,0
Edgar Bennett,899,222,2,2,0,23,50,22.5,2,1996,0
Leonard Russell,713,219,7,1,0,21,42,19.2,6,1996,0
Marcus Allen,830,206,9,3,0,35,55,26.7,2,1996,0
Chris Warren,855,203,5,6,3,51,33,16.3,3,1996,0
Marshall Faulk,587,198,7,1,1,43,41,20.7,1,1996,0
Raymont Harris,748,194,4,5,0,23,40,20.6,3,1996,0
Lawrence Phillips,632,193,4,2,0,38,31,16.1,2,1996,0
James Stewart,723,190,8,4,0,34,37,19.5,2,1996,0
Darick Holmes,571,189,4,1,0,37,36,19.0,2,1996,0
Errict Rhett,539,176,3,2,0,35,30,17.0,3,1996,0
Jerome Bettis,1665,375,7,6,0,34,94,25.1,6,1997,1
Terrell Davis,1750,369,15,5,1,50,99,26.8,4,1997,1
Eddie George,1399,357,6,6,0,30,61,17.1,4,1997,1
Barry Sanders,2053,335,11,19,11,82,85,25.4,2,1997,1
Dorsey Levens,1435,329,7,8,1,52,68,20.7,5,1997,1
Adrian Murrell,1086,300,7,4,1,43,61,20.3,4,1997,0
Jamal Anderson,1002,290,7,3,0,39,54,18.6,3,1997,0
Ricky Watters,1110,285,7,5,0,28,55,19.3,3,1997,0
Abdul-Karim al-Jabbar,892,283,15,2,0,22,64,22.6,3,1997,0
Raymont Harris,1033,275,10,3,2,68,52,18.9,0,1997,0
Curtis Martin,1160,274,4,8,1,70,46,16.8,3,1997,0
Napoleon Kaufman,1294,272,6,11,8,83,54,19.8,6,1997,0
Marshall Faulk,1054,264,7,7,1,45,65,24.6,5,1997,0
Emmitt Smith,1074,261,4,5,1,44,47,18.0,1,1997,0
Gary Brown,945,253,4,4,0,32,47,18.6,2,1997,0
Natrone Means,823,244,9,1,0,20,43,17.6,4,1997,0
Garrison Hearst,1019,234,4,6,2,51,41,17.5,2,1997,0
Corey Dillon,1129,233,10,9,3,71,57,24.5,1,1997,0
Robert Smith,1266,232,6,13,4,78,45,19.4,0,1997,0
Warrick Dunn,978,224,4,5,4,76,34,15.2,2,1997,1
Terry Allen,724,210,4,4,0,34,32,15.2,1,1997,0
Bam Morris,774,204,4,1,0,25,43,21.1,4,1997,0
Lawrence Phillips,677,201,8,4,0,28,39,19.4,3,1997,0
Chris Warren,847,200,4,6,0,36,39,19.5,2,1997,0
Antowain Smith,840,194,8,7,2,56,47,24.2,4,1997,0
Jamal Anderson,1846,410,14,17,2,48,90,22.0,5,1998,1
Terrell Davis,2008,392,21,15,6,70,100,25.5,1,1998,1
Curtis Martin,1287,369,8,2,1,60,69,18.7,5,1998,1
Eddie George,1294,348,5,5,0,37,72,20.7,7,1998,1
Barry Sanders,1491,343,4,13,4,73,63,18.4,3,1998,1
Marshall Faulk,1319,324,6,5,3,68,62,19.1,3,1998,1
Emmitt Smith,1332,319,13,8,0,32,89,27.9,2,1998,1
Ricky Watters,1239,319,9,5,0,39,73,22.9,4,1998,0
Jerome Bettis,1185,316,3,3,1,42,58,18.4,2,1998,0
Garrison Hearst,1570,310,7,9,3,96,70,22.6,4,1998,1
Antowain Smith,1124,300,8,6,0,30,60,20.0,5,1998,0
Robert Edwards,1115,291,9,6,3,53,49,16.8,5,1998,0
Adrian Murrell,1042,274,8,8,0,32,43,15.7,6,1998,0
Abdul-Karim al-Jabbar,960,270,6,9,2,45,43,15.9,2,1998,0
Fred Taylor,1223,264,14,9,4,77,58,22.0,3,1998,0
Corey Dillon,1130,262,4,4,2,66,56,21.4,2,1998,0
Duce Staley,1065,258,5,6,2,64,53,20.5,1,1998,0
Robert Smith,1187,249,6,9,4,74,46,18.5,1,1998,1
Gary Brown,1063,247,5,3,1,45,53,21.5,1,1998,0
Warrick Dunn,1026,245,2,5,2,50,42,17.1,1,1998,0
Priest Holmes,1008,233,7,5,2,56,54,23.2,3,1998,0
Napoleon Kaufman,921,217,2,7,2,80,37,17.0,1,1998,0
Mike Alstott,846,215,8,4,0,37,49,22.8,4,1998,0
Natrone Means,883,212,5,6,1,72,42,19.8,1,1998,0
Fred Lane,717,205,5,6,0,31,31,15.1,4,1998,0
Edgerrin James,1553,369,13,9,4,72,79,21.4,6,1999,1
Curtis Martin,1464,367,5,9,1,50,84,22.9,1,1999,0
Emmitt Smith,1397,329,11,10,2,63,85,25.8,4,1999,1
Duce Staley,1273,325,4,7,0,29,50,15.4,5,1999,0
Ricky Watters,1210,325,5,6,2,45,49,15.1,3,1999,0
Eddie George,1304,320,9,5,1,40,66,20.6,5,1999,1
Jerome Bettis,1091,299,7,5,0,35,64,21.4,2,1999,0
Stephen Davis,1405,290,17,7,3,76,84,29.0,3,1999,1
Curtis Enis,916,287,3,0,0,19,54,18.8,3,1999,0
Dorsey Levens,1034,279,9,4,0,36,56,20.1,5,1999,0
Olandis Gary,1159,276,7,8,3,71,59,21.4,2,1999,0
Corey Dillon,1200,263,5,12,1,50,61,23.2,3,1999,1
Terry Allen,896,254,8,4,0,39,42,16.5,7,1999,0
Marshall Faulk,1381,253,7,9,3,58,65,25.7,2,1999,1
Ricky Williams,884,253,2,4,0,25,45,17.8,6,1999,0
James Stewart,931,249,13,3,3,44,51,20.5,4,1999,0
Mike Alstott,949,242,7,7,0,30,47,19.4,6,1999,0
Tyrone Wheatley,936,242,8,5,0,30,38,15.7,3,1999,0
Charlie Garner,1229,241,4,12,2,53,51,21.2,3,1999,0
Errict Rhett,852,236,5,4,1,52,38,16.1,0,1999,0
Robert Smith,1015,221,2,6,1,70,40,18.1,1,1999,0
Jonathan Linton,695,205,5,0,0,18,44,21.5,4,1999,0
Warrick Dunn,616,195,0,2,0,33,29,14.9,3,1999,0
Adrian Murrell,553,193,0,2,0,22,25,13.0,2,1999,0
Antowain Smith,614,165,6,5,1,52,27,16.4,4,1999,0
Eddie George,1509,403,14,4,0,35,78,19.4,5,2000,1
Edgerrin James,1709,387,13,9,0,30,99,25.6,5,2000,1
Jerome Bettis,1341,355,8,5,0,30,71,20.0,1,2000,0
James Stewart,1184,339,10,3,0,34,65,19.2,4,2000,0
Stephen Davis,1318,332,11,5,1,50,71,21.4,3,2000,1
Curtis Martin,1204,316,9,8,1,55,61,19.3,2,2000,0
Corey Dillon,1435,315,7,12,4,80,66,21.0,4,2000,1
Jamal Lewis,1364,309,6,8,1,45,62,20.1,4,2000,0
Lamar Smith,1139,309,14,6,2,68,62,20.1,3,2000,0
Mike Anderson,1487,297,15,12,2,80,76,25.6,4,2000,0
Robert Smith,1521,295,7,11,4,72,63,21.4,4,2000,1
Emmitt Smith,1203,294,9,6,1,52,65,22.1,6,2000,0
Fred Taylor,1399,292,12,12,2,71,73,25.0,2,2000,0
James Allen,1120,290,2,5,0,29,56,19.3,5,2000,0
Jamal Anderson,1024,282,6,7,1,42,53,18.8,6,2000,0
Ricky Watters,1242,278,7,7,2,55,60,21.6,5,2000,0
Ahman Green,1175,263,10,10,0,39,61,23.2,3,2000,0
Charlie Garner,1142,258,7,8,1,42,53,20.5,4,2000,1
Marshall Faulk,1359,253,18,6,0,36,78,30.8,0,2000,1
Warrick Dunn,1133,248,8,11,2,70,42,16.9,1,2000,1
Ricky Williams,1000,248,8,3,0,26,56,22.6,6,2000,0
Tyrone Wheatley,1046,232,9,8,2,80,50,21.6,4,2000,0
Ron Dayne,770,228,5,2,1,50,47,20.6,1,2000,0
Tiki Barber,1006,213,8,9,2,78,38,17.8,5,2000,0
Michael Pittman,719,184,4,5,0,29,35,19.0,3,2000,0
Stephen Davis,1432,356,5,8,0,32,74,20.8,6,2001,0
Corey Dillon,1315,340,10,9,2,96,69,20.3,5,2001,1
LaDainian Tomlinson,1236,339,10,7,1,54,67,19.8,5,2001,0
Curtis Martin,1513,333,10,9,1,47,77,23.1,2,2001,1
Priest Holmes,1555,327,8,11,1,41,80,24.5,2,2001,1
Eddie George,939,315,5,4,0,27,38,12.1,8,2001,0
Lamar Smith,968,313,6,1,0,25,47,15.0,4,2001,0
Ricky Williams,1245,313,6,2,1,46,58,18.5,6,2001,0
Shaun Alexander,1318,309,14,8,4,88,61,19.7,4,2001,0
Ahman Green,1387,304,9,11,4,83,57,18.8,5,2001,1
Antowain Smith,1157,287,12,7,2,44,58,20.2,4,2001,0
Anthony Thomas,1183,278,7,8,1,46,57,20.5,0,2001,0
Emmitt Smith,1021,261,3,7,1,44,47,18.0,1,2001,0
Marshall Faulk,1382,260,12,8,4,71,70,26.9,2,2001,1
Garrison Hearst,1206,252,4,7,1,43,53,21.0,0,2001,1
Michael Pittman,846,241,5,7,1,42,42,17.4,5,2001,0
Maurice Smith,760,237,5,6,2,58,34,14.4,1,2001,0
Dominic Rhodes,1104,233,9,6,2,77,57,24.5,5,2001,0
Jerome Bettis,1072,225,4,9,3,48,46,20.4,3,2001,1
Travis Henry,729,213,4,2,0,25,34,16.0,5,2001,0
Stacey Mack,877,213,9,7,1,54,48,22.5,2,2001,0
Charlie Garner,839,211,1,2,0,38,31,14.7,2,2001,0
James Jackson,554,195,2,1,0,22,30,15.4,1,2001,0
Ron Dayne,690,180,7,4,2,61,38,21.1,2,2001,0
Mike Anderson,678,175,4,3,1,62,32,18.3,1,2001,0
Ricky Williams,1853,383,16,7,4,63,89,23.2,7,2002,1
LaDainian Tomlinson,1683,372,14,12,2,76,90,24.2,2,2002,1
Eddie George,1165,343,12,1,0,35,61,17.8,1,2002,0
Travis Henry,1438,325,13,10,0,34,72,22.2,11,2002,1
Deuce McAllister,1388,325,13,10,4,62,65,20.0,4,2002,1
Corey Dillon,1311,314,7,5,1,67,69,22.0,5,2002,0
Priest Holmes,1615,313,21,9,1,56,100,32.0,1,2002,1
Jamal Lewis,1327,308,6,10,1,75,63,20.4,7,2002,0
Tiki Barber,1387,304,11,12,5,70,67,22.0,5,2002,0
Shaun Alexander,1175,295,16,10,4,58,61,20.7,2,2002,0
Fred Taylor,1314,287,8,8,2,63,47,16.4,2,2002,0
Ahman Green,1240,286,7,7,1,43,54,18.9,3,2002,1
Edgerrin James,989,277,2,3,0,20,56,20.2,2,2002,0
Clinton Portis,1508,273,15,11,3,59,79,28.9,5,2002,0
Duce Staley,1029,269,5,4,1,57,56,20.8,3,2002,0
Curtis Martin,1094,261,7,5,0,35,54,20.7,0,2002,0
Michael Bennett,1296,255,5,9,3,85,47,18.4,3,2002,1
Emmitt Smith,975,254,5,5,0,30,48,18.9,2,2002,0
Antowain Smith,982,252,6,3,1,42,56,22.2,2,2002,0
William Green,887,243,6,4,1,64,38,15.6,3,2002,0
James Stewart,1021,231,4,9,1,56,46,19.9,0,2002,0
Warrick Dunn,927,230,7,6,2,59,39,17.0,3,2002,0
Garrison Hearst,972,215,8,6,1,40,53,24.6,3,2002,0
Anthony Thomas,721,214,6,3,0,34,34,15.9,5,2002,0
Marshall Faulk,953,212,8,5,3,44,51,24.1,2,2002,1
Ricky Williams,1372,392,9,6,1,45,68,17.4,4,2003,0
Jamal Lewis,2066,387,14,16,6,82,83,21.4,8,2003,1
Ahman Green,1883,355,15,15,5,98,96,27.0,7,2003,1
Deuce McAllister,1641,351,8,16,3,76,69,19.7,6,2003,1
Fred Taylor,1572,345,6,10,2,62,77,22.3,5,2003,0
Travis Henry,1356,331,10,5,1,64,76,23.0,7,2003,0
Shaun Alexander,1435,326,14,9,2,55,79,24.2,4,2003,1
Curtis Martin,1308,323,2,5,1,56,53,16.4,2,2003,0
Priest Holmes,1420,320,27,6,0,31,88,27.5,1,2003,1
Stephen Davis,1444,318,8,11,1,40,69,21.7,3,2003,1
LaDainian Tomlinson,1645,313,13,12,5,73,81,25.9,2,2003,0
Eddie George,1031,312,5,2,0,27,52,16.7,0,2003,0
Edgerrin James,1259,310,11,3,1,43,83,26.8,5,2003,0
Clinton Portis,1591,290,14,13,6,65,76,26.2,3,2003,1
Tiki Barber,1216,278,2,4,0,27,66,23.7,6,2003,0
Troy Hambrick,972,275,5,3,1,42,57,20.7,4,2003,0
Jerome Bettis,811,246,7,2,0,21,43,17.5,4,2003,0
Anthony Thomas,1024,244,6,7,1,67,46,18.8,1,2003,0
Domanick Williams,1031,238,8,5,1,51,47,19.8,2,2003,0
Marcel Shipp,830,228,0,3,0,36,37,16.2,3,2003,0
Rudi Johnson,957,215,9,5,3,54,48,22.3,0,2003,0
Marshall Faulk,818,209,10,5,1,52,49,23.4,0,2003,0
Kevan Barlow,1024,201,6,6,2,78,44,21.9,4,2003,0
T.J. Duckett,779,197,11,5,2,55,39,19.8,3,2003,0
Michael Pittman,751,187,0,0,0,17,37,19.8,2,2003,0
Curtis Martin,1697,371,12,7,0,25,90,24.3,2,2004,1
Rudi Johnson,1454,361,12,7,1,52,73,20.2,4,2004,1
Shaun Alexander,1696,353,16,15,2,44,77,21.8,5,2004,1
Corey Dillon,1635,345,12,8,1,44,81,23.5,4,2004,1
Clinton Portis,1315,343,5,5,1,64,65,19.0,5,2004,0
LaDainian Tomlinson,1335,339,17,6,1,42,68,20.1,5,2004,1
Edgerrin James,1548,334,9,6,1,40,73,21.9,6,2004,1
Tiki Barber,1518,322,13,11,3,72,77,23.9,5,2004,1
Domanick Williams,1188,302,13,5,2,44,56,18.5,2,2004,0
Willis McGahee,1128,284,13,10,1,41,64,22.5,3,2004,0
Reuben Droughns,1240,275,6,8,2,51,69,25.1,5,2004,0
Deuce McAllister,1074,269,9,5,1,71,53,19.7,5,2004,0
Emmitt Smith,937,267,9,4,0,29,41,15.4,4,2004,0
Warrick Dunn,1106,265,9,5,1,60,46,17.4,3,2004,0
Fred Taylor,1224,260,2,9,2,46,48,18.5,3,2004,0
Ahman Green,1163,259,7,6,1,90,55,21.2,6,2004,1
Jerome Bettis,941,250,13,3,0,29,50,20.0,1,2004,1
Kevan Barlow,822,244,7,5,1,60,44,18.0,2,2004,0
Kevin Jones,1133,241,5,11,2,74,57,23.6,2,2004,0
Thomas Jones,948,240,7,2,1,54,49,20.4,2,2004,0
Jamal Lewis,1006,235,7,5,2,75,47,20.0,2,2004,0
Chris Brown,1067,220,6,5,1,52,40,18.2,6,2004,0
Michael Pittman,926,219,7,2,2,78,41,18.7,5,2004,0
Nick Goings,821,217,6,3,1,57,39,18.0,1,2004,0
Lee Suggs,744,199,2,3,0,39,38,19.1,6,2004,0
Shaun Alexander,1880,370,27,14,4,88,107,28.9,5,2005,1
Edgerrin James,1506,360,13,5,0,33,94,26.1,2,2005,1
Tiki Barber,1860,357,9,16,7,95,72,20.2,1,2005,1
Clinton Portis,1516,352,11,6,2,47,74,21.0,3,2005,0
LaDainian Tomlinson,1462,339,18,8,2,62,71,20.9,2,2005,1
Rudi Johnson,1458,337,12,5,0,33,79,23.4,1,2005,0
Larry Johnson,1750,336,20,15,2,49,97,28.9,5,2005,1
Willis McGahee,1247,325,5,4,0,27,71,21.8,1,2005,0
Thomas Jones,1335,314,9,12,1,42,61,19.4,2,2005,0
Reuben Droughns,1232,309,2,7,1,75,60,19.4,6,2005,0
Cadillac Williams,1178,290,6,7,1,71,54,18.6,3,2005,0
Warrick Dunn,1416,280,3,11,2,65,65,23.2,1,2005,1
LaMont Jordan,1025,272,9,4,0,26,61,22.4,2,2005,0
Jamal Lewis,906,269,3,3,0,25,48,17.8,5,2005,0
Julius Jones,993,257,5,4,2,51,47,18.3,4,2005,0
Willie Parker,1202,255,4,8,3,80,46,18.0,4,2005,0
Steven Jackson,1046,254,8,6,2,51,50,19.7,3,2005,0
Mike Anderson,1014,239,12,4,1,44,62,25.9,1,2005,0
Domanick Williams,976,230,2,3,2,44,39,17.0,1,2005,0
Chris Brown,851,224,5,5,0,38,37,16.5,3,2005,0
Curtis Martin,735,220,5,4,2,49,35,15.9,2,2005,0
Corey Dillon,733,209,12,2,0,29,49,23.4,1,2005,0
Ronnie Brown,907,207,4,5,2,65,41,19.8,3,2005,0
DeShaun Foster,879,205,2,3,1,70,34,16.6,1,2005,0
Fred Taylor,787,194,3,1,1,71,26,13.4,0,2005,0
Larry Johnson,1789,416,17,10,3,47,91,21.9,2,2006,1
LaDainian Tomlinson,1815,348,28,12,7,85,81,23.3,2,2006,1
Steven Jackson,1528,346,13,9,1,59,74,21.4,2,2006,1
Rudi Johnson,1309,341,12,5,0,22,67,19.6,6,2006,0
Edgerrin James,1159,337,6,0,0,18,59,17.5,3,2006,0
Willie Parker,1494,337,13,12,3,76,70,20.8,6,2006,1
Tiki Barber,1662,327,5,11,3,55,78,23.8,3,2006,1
Jamal Lewis,1132,314,9,3,1,52,46,14.6,4,2006,0
Frank Gore,1695,312,8,15,6,72,68,21.8,5,2006,1
Chester Taylor,1216,303,6,6,2,95,53,17.5,4,2006,0
Thomas Jones,1210,296,6,4,0,30,61,20.6,1,2006,0
Warrick Dunn,1140,286,4,7,1,90,48,16.8,1,2006,0
Travis Henry,1211,270,7,9,2,70,48,17.8,3,2006,0
Julius Jones,1084,267,4,5,1,77,43,16.1,1,2006,0
Ahman Green,1059,266,5,3,1,70,55,20.7,2,2006,0
Willis McGahee,990,259,6,4,1,57,48,18.5,4,2006,0
Shaun Alexander,896,252,7,2,0,33,53,21.0,5,2006,0
Ladell Betts,1154,245,4,6,0,26,59,24.1,4,2006,0
Deuce McAllister,1057,244,10,6,1,57,54,22.1,2,2006,0
Ronnie Brown,1008,241,5,6,1,47,49,20.3,4,2006,0
Brian Westbrook,1217,240,7,8,1,71,60,25.0,1,2006,0
Tatum Bell,1025,233,2,7,1,51,43,18.4,3,2006,0
Fred Taylor,1146,231,5,6,1,76,46,19.9,2,2006,0
DeShaun Foster,897,227,3,3,1,43,49,21.6,3,2006,0
Joseph Addai,1081,226,7,3,1,41,66,29.2,2,2006,0
Clinton Portis,1262,325,11,3,0,32,61,18.8,6,2007,0
Edgerrin James,1222,324,7,4,0,27,52,16.0,4,2007,0
Willie Parker,1316,321,2,12,0,32,49,15.3,4,2007,1
LaDainian Tomlinson,1474,315,15,13,2,49,75,23.8,0,2007,1
Thomas Jones,1119,310,1,2,0,36,55,17.7,2,2007,0
LenDale White,1110,303,7,4,0,28,57,18.8,5,2007,0
Jamal Lewis,1304,298,9,9,2,66,58,19.5,4,2007,0
Willis McGahee,1207,294,7,5,1,46,56,19.0,4,2007,1
Marshawn Lynch,1115,280,7,6,2,56,51,18.2,1,2007,0
Brian Westbrook,1333,278,7,11,0,36,73,26.3,0,2007,1
